Day,Metric
2020-07-01,402596
2020-07-02,401979
2020-07-03,399455
2020-07-04,399263
2020-07-05,399300
2020-07-06,399878
2020-07-07,400214
2020-07-08,400515
2020-07-09,401408
2020-07-10,401735
2020-07-11,401719
2020-07-12,401809
2020-07-13,402443
2020-07-14,402664
2020-07-15,402722
2020-07-16,402689
2020-07-17,403123
2020-07-18,403143
2020-07-19,403263
2020-07-20,404058
2020-07-21,404674
2020-07-22,405799
2020-07-23,406215
2020-07-24,406050
2020-07-25,405997
2020-07-26,406112
2020-07-27,406967
2020-07-28,406997
2020-07-29,407160
2020-07-30,405349
2020-07-31,405627
2020-08-01,405753
2020-08-02,405680
2020-08-03,406293
2020-08-04,407289
2020-08-05,407647
2020-08-06,407899
2020-08-07,407582
2020-08-08,407502
2020-08-09,407500
2020-08-10,407912
2020-08-11,408391
2020-08-12,408435
2020-08-13,408279
2020-08-14,407761
2020-08-15,407653
2020-08-16,407686
2020-08-17,408604
2020-08-18,410176
2020-08-19,410518
2020-08-20,410221
2020-08-21,409691
2020-08-22,409611
2020-08-23,409396
2020-08-24,409882
2020-08-25,410674
2020-08-26,411420
2020-08-27,413423
2020-08-28,415022
2020-08-29,415143
2020-08-30,415373
2020-08-31,416369
2020-09-01,417472
2020-09-02,418633
2020-09-03,419848
2020-09-04,420601
2020-09-05,420709
2020-09-06,420888
2020-09-07,418767
2020-09-08,420824
2020-09-09,422826
2020-09-10,424423
2020-09-11,425817
2020-09-12,426016
2020-09-13,426187
2020-09-14,428724
2020-09-15,429803
2020-09-16,431389
2020-09-17,433369
2020-09-18,434958
2020-09-19,435126
2020-09-20,435327
2020-09-21,437330
2020-09-22,439109
2020-09-23,440826
2020-09-24,442436
2020-09-25,443811
2020-09-26,444041
2020-09-27,444328
2020-09-28,446800
2020-09-29,448329
2020-09-30,449407
2020-10-01,450339
2020-10-02,450929
2020-10-03,451121
2020-10-04,451377
2020-10-05,457163
2020-10-06,458793
2020-10-07,460727
2020-10-08,462554
2020-10-09,463845
2020-10-10,464078
2020-10-11,464442
2020-10-12,464695
2020-10-13,466424
2020-10-14,467996
2020-10-15,469560
2020-10-16,470586
2020-10-17,470771
2020-10-18,471237
2020-10-19,473342
2020-10-20,474889
2020-10-21,476345
2020-10-22,477734
2020-10-23,478214
2020-10-24,478382
2020-10-25,478606
2020-10-26,479707
2020-10-27,481734
2020-10-28,482993
2020-10-29,484476
2020-10-30,486124
2020-10-31,486329
2020-11-01,486618
2020-11-02,488651
2020-11-03,490018
2020-11-04,490258
2020-11-05,491708
2020-11-06,492514
2020-11-07,492687
2020-11-08,492821
2020-11-09,496440
2020-11-10,498397
2020-11-11,498994
2020-11-12,499932
2020-11-13,500875
2020-11-14,500936
2020-11-15,501178
2020-11-16,502209
2020-11-17,505124
2020-11-18,507405
2020-11-19,509280
2020-11-20,510750
2020-11-21,510983
2020-11-22,511270
2020-11-23,513687
2020-11-24,514405
2020-11-25,507616
2020-11-26,496446
2020-11-27,492410
2020-11-28,492402
2020-11-29,492763
2020-11-30,494993
2020-12-01,497520
2020-12-02,499937
2020-12-03,501230
2020-12-04,502193
2020-12-05,502375
2020-12-06,502661
2020-12-07,503170
2020-12-08,503874
2020-12-09,506262
2020-12-10,506884
2020-12-11,507295
2020-12-12,507512
2020-12-13,507562
2020-12-14,509076
2020-12-15,495518
2020-12-16,477968
2020-12-17,468073
2020-12-18,467622
2020-12-19,467569
2020-12-20,467394
2020-12-21,464105
2020-12-22,459481
2020-12-23,460613
2020-12-24,462287
2020-12-25,455294
2020-12-26,454624
2020-12-27,453677
2020-12-28,443732
2020-12-29,432753
2020-12-30,420871
2020-12-31,401387
2021-01-01,385406
2021-01-02,384657
2021-01-03,384363
2021-01-04,386941
2021-01-05,388829
2021-01-06,386971
2021-01-07,386382
2021-01-08,386631
2021-01-09,386577
2021-01-10,386826
2021-01-11,389177
2021-01-12,408852
2021-01-13,432126
2021-01-14,445668
2021-01-15,449068
2021-01-16,449532
2021-01-17,450230
2021-01-18,455724
2021-01-19,464554
2021-01-20,475005
2021-01-21,490231
2021-01-22,505556
2021-01-23,506842
2021-01-24,508024
2021-01-25,520403
2021-01-26,530600
2021-01-27,543351
2021-01-28,561602
2021-01-29,575920
2021-01-30,576909
2021-01-31,577688
2021-02-01,581115
2021-02-02,584973
2021-02-03,589622
2021-02-04,592955
2021-02-05,595105
2021-02-06,595397
2021-02-07,595656
2021-02-08,597999
2021-02-09,599906
2021-02-10,602157
2021-02-11,604092
2021-02-12,604567
2021-02-13,604686
2021-02-14,604881
2021-02-15,605590
2021-02-16,606863
2021-02-17,609810
2021-02-18,612105
2021-02-19,613209
2021-02-20,613928
2021-02-21,614279
2021-02-22,617586
2021-02-23,621123
2021-02-24,622636
2021-02-25,624294
2021-02-26,625096
2021-02-27,625254
2021-02-28,625533
2021-03-01,628751
2021-03-02,631485
2021-03-03,634256
2021-03-04,636755
2021-03-05,638523
2021-03-06,638750
2021-03-07,638900
2021-03-08,638515
2021-03-09,640219
2021-03-10,641616
2021-03-11,643016
2021-03-12,644417
2021-03-13,644489
2021-03-14,644804
2021-03-15,650122
2021-03-16,652378
2021-03-17,652695
2021-03-18,652738
2021-03-19,652395
2021-03-20,651779
2021-03-21,651899
2021-03-22,653010
2021-03-23,653657
2021-03-24,653653
2021-03-25,653466
2021-03-26,652542
2021-03-27,652200
2021-03-28,651803
2021-03-29,650141
2021-03-30,648909
2021-03-31,647390
2021-04-01,644217
2021-04-02,636470
2021-04-03,636002
2021-04-04,635290
2021-04-05,631494
2021-04-06,633293
2021-04-07,634837
2021-04-08,636492
2021-04-09,636922
2021-04-10,636841
2021-04-11,636819
2021-04-12,638810
2021-04-13,639054
2021-04-14,639704
2021-04-15,640515
2021-04-16,641036
2021-04-17,641052
2021-04-18,640986
2021-04-19,642520
2021-04-20,644964
2021-04-21,647791
2021-04-22,652893
2021-04-23,657739
2021-04-24,658392
2021-04-25,659185
2021-04-26,667339
2021-04-27,672027
2021-04-28,676954
2021-04-29,682783
2021-04-30,691193
2021-05-01,691600
2021-05-02,692442
2021-05-03,699112
2021-05-04,701693
2021-05-05,704113
2021-05-06,706858
2021-05-07,708649
2021-05-08,708874
2021-05-09,708884
